Plot,Day,Soil,Treatment,MAB,SAB
4,Baseline,crop,Crop + Strip + Manure,0,1
4,T000,crop,Crop + Strip + Manure,1.9728464587406066e-4,0.9998027153541259
4,T002,crop,Crop + Strip + Manure,0.0011436208690140748,0.9988563791309859
4,T014,crop,Crop + Strip + Manure,0.0026773621158510336,0.997322637884149
4,T021,crop,Crop + Strip + Manure,0.0021752894639510026,0.997824710536049
4,T042,crop,Crop + Strip + Manure,0,1
5,Baseline,crop,Crop + Strip + Manure,0,1
5,T000,crop,Crop + Strip + Manure,0.0018758569638035313,0.9981241430361965
5,T002,crop,Crop + Strip + Manure,0.006999010653867853,0.9930009893461321
5,T014,crop,Crop + Strip + Manure,0.007275019873358735,0.9927249801266412
5,T021,crop,Crop + Strip + Manure,5.096367679762788e-4,0.9994903632320237
5,T042,crop,Crop + Strip + Manure,1.4947025981448104e-4,0.9998505297401855
6,Baseline,crop,Crop + Strip + Manure,0,1
6,T000,crop,Crop + Strip + Manure,0.0011167129226676302,0.9988832870773323
6,T002,crop,Crop + Strip + Manure,0.0037260721367565674,0.9962739278632434
6,T014,crop,Crop + Strip + Manure,0.001716014193473329,0.9982839858065267
6,T021,crop,Crop + Strip + Manure,9.562260943476413e-4,0.9990437739056524
6,T042,crop,Crop + Strip + Manure,9.335643306613047e-4,0.9990664356693387
7,Baseline,crop,Crop + Manure,0,1
7,T000,crop,Crop + Manure,2.3910271272895896e-4,0.999760897287271
7,T002,crop,Crop + Manure,0.004373069058670766,0.9956269309413293
7,T014,crop,Crop + Manure,0.002773266156208912,0.9972267338437911
7,T021,crop,Crop + Manure,0.0020757815162499612,0.99792421848375
7,T042,crop,Crop + Manure,0.005611231195825419,0.9943887688041746
8,Baseline,crop,Crop + Manure,0,1
8,T000,crop,Crop + Manure,0.008221317877255723,0.9917786821227442
8,T002,crop,Crop + Manure,7.02542071772344e-4,0.9992974579282277
8,T014,crop,Crop + Manure,7.297372107262982e-4,0.9992702627892737
8,T021,crop,Crop + Manure,0.006089150760508234,0.9939108492394918
8,T042,crop,Crop + Manure,4.29869303198393e-4,0.9995701306968016
9,Baseline,crop,Crop + Manure,0,1
9,T000,crop,Crop + Manure,6.023387359194666e-4,0.9993976612640806
9,T002,crop,Crop + Manure,0.002565487442614097,0.9974345125573859
9,T014,crop,Crop + Manure,0.004542245234172747,0.9954577547658272
9,T021,crop,Crop + Manure,0.001432224236147074,0.9985677757638529
9,T042,crop,Crop + Manure,7.912985929272293e-4,0.9992087014070727
