Sample_Name,Sample_Type,Assay,Assay_Type,ID,rConc,Value,Calibrated rConc,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,soil_type,plot,treatment,block,sample_day,sample_number,sample_type,counts
P2_5,Unknown,tetbP,Test,S06-A28,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,2,WCS,2,T00,5,water,3.644849692957795e-275
P2_5,Unknown,tetbP,Test,S06-A29,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,2,WCS,2,T00,5,water,3.644849692957795e-275
P2_5,Unknown,tetbP,Test,S06-A30,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,2,WCS,2,T00,5,water,3.644849692957795e-275
P2_3,Unknown,tetbP,Test,S05-A28,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,2,WCS,2,T00,3,water,3.644849692957795e-275
P2_3,Unknown,tetbP,Test,S05-A29,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,2,WCS,2,T00,3,water,3.644849692957795e-275
P2_3,Unknown,tetbP,Test,S05-A30,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,2,WCS,2,T00,3,water,3.644849692957795e-275
P2_1,Unknown,tetbP,Test,S04-A28,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,2,WCS,2,T00,1,water,3.644849692957795e-275
P2_1,Unknown,tetbP,Test,S04-A29,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,2,WCS,2,T00,1,water,3.644849692957795e-275
P2_1,Unknown,tetbP,Test,S04-A30,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,2,WCS,2,T00,1,water,3.644849692957795e-275
P1_5,Unknown,tetbP,Test,S03-A28,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,1,WCS,1,T00,5,water,3.644849692957795e-275
P1_5,Unknown,tetbP,Test,S03-A29,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,1,WCS,1,T00,5,water,3.644849692957795e-275
P1_5,Unknown,tetbP,Test,S03-A30,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,1,WCS,1,T00,5,water,3.644849692957795e-275
P1_3,Unknown,tetbP,Test,S02-A28,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,1,WCS,1,T00,3,water,3.644849692957795e-275
P1_3,Unknown,tetbP,Test,S02-A29,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,1,WCS,1,T00,3,water,3.644849692957795e-275
P1_3,Unknown,tetbP,Test,S02-A30,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,1,WCS,1,T00,3,water,3.644849692957795e-275
P1_1,Unknown,tetbP,Test,S01-A28,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,1,WCS,1,T00,1,water,3.644849692957795e-275
P1_1,Unknown,tetbP,Test,S01-A29,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,1,WCS,1,T00,1,water,3.644849692957795e-275
P1_1,Unknown,tetbP,Test,S01-A30,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,1,WCS,1,T00,1,water,3.644849692957795e-275
P2_6,Unknown,tetbP,Test,S12-A28,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,2,WCS,2,T00,6,water,3.644849692957795e-275
P2_6,Unknown,tetbP,Test,S12-A29,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,2,WCS,2,T00,6,water,3.644849692957795e-275
P2_6,Unknown,tetbP,Test,S12-A30,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,2,WCS,2,T00,6,water,3.644849692957795e-275
P2_4,Unknown,tetbP,Test,S11-A28,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,2,WCS,2,T00,4,water,3.644849692957795e-275
P2_4,Unknown,tetbP,Test,S11-A29,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,2,WCS,2,T00,4,water,3.644849692957795e-275
P2_4,Unknown,tetbP,Test,S11-A30,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,2,WCS,2,T00,4,water,3.644849692957795e-275
P2_2,Unknown,tetbP,Test,S10-A28,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,2,WCS,2,T00,2,water,3.644849692957795e-275
P2_2,Unknown,tetbP,Test,S10-A29,1,999,-1,0,Flag,0.00630902898206494,999,999,0,na,2,WCS,2,T00,2,water,3.644849692957795e-275
