"ASV","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV4","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV184","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Oceanobacillus"
"ASV187","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV244","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"ASV246","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"ASV269","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV272","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV277","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV310","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV325","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV327","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Atopostipes"
"ASV354","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV413","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Sporosarcina"
"ASV514","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Atopostipes"
"ASV543","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiopsaceae","Nocardiopsis"
"ASV558","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Unclassified"
"ASV597","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter"
"ASV628","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Cerasibacillus"
"ASV633","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV639","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Jeotgalicoccus"
"ASV650","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ASV670","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Unclassified"
"ASV682","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Lentibacillus"
"ASV683","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Porphyrobacter"
"ASV686","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas"
"ASV689","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Lentibacillus"
"ASV717","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Atopostipes"
"ASV742","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV762","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Atopostipes"
"ASV777","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Atopostipes"
"ASV789","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Providencia"
"ASV793","Bacteria","Firmicutes","Bacilli","Bacillales","Unclassified","Unclassified"
"ASV820","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV823","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Glycomycetaceae","Glycomyces"
"ASV854","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Lentibacillus"
"ASV879","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiopsaceae","Nocardiopsis"
"ASV889","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Jeotgalicoccus"
"ASV903","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV914","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Lentibacillus"
"ASV938","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermabacteraceae","Brachybacterium"
"ASV939","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiopsaceae","Nocardiopsis"
"ASV954","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Ruminococcus2"
"ASV957","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Aquisphaera"
"ASV968","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Virgibacillus"
"ASV973","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia"
"ASV1016","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Ruaniaceae","Haloactinobacterium"
"ASV1022","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV1072","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia"
"ASV1085","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Oceanisphaera"
"ASV1109","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiopsaceae","Nocardiopsis"
"ASV1126","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Unclassified"
"ASV1166","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Amphibacillus"
"ASV1205","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Trueperaceae","Truepera"
"ASV1234","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermabacteraceae","Brachybacterium"
"ASV1256","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV1289","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter"
"ASV1303","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
